Name,Gender,Origin
Adje,F,"{""NL"":""1""}"
Adjuto,M,"{""PT"":""1""}"
Admeto,M,"{""IT"":""1""}"
Admir,M,"{""BA"":""7"",""ME"":""4"",""AL"":""5""}"
Admira,F,"{""BA"":""2"",""AL"":""1""}"
Admirim,M,"{""AL"":""3""}"
Adnan,M,"{""BA"":""8"",""Kosovo"":""3"",""MK"":""5"",""ME"":""4"",""AL"":""3"",""TR"":""6"",""SA/IR"":""7""}"
Adnana,F,"{""SA/IR"":""1""}"
Adnand,M,"{""AL"":""3""}"
Ado,M,"{""IT"":""1"",""EE"":""2""}"
Adolf,M,"{""East Frisia"":""4"",""DE"":""3"",""AT"":""6"",""CH"":""4"",""IS"":""2"",""DK"":""1"",""SE"":""2"",""CZ"":""1"",""SK"":""1"",""HU"":""1""}"
Adolfa,F,"{""DE"":""1"",""AT"":""1""}"
Adolfas,M,"{""LT"":""4""}"
Adolfina,F,"{""LT"":""3""}"
Adolfine,F,"{""DE"":""1"",""AT"":""2""}"
Adolfo,M,"{""IT"":""3"",""PT"":""2"",""ES"":""4"",""CH"":""1""}"
Ādolfs,M,"{""LV"":""2""}"
Adolina,F,"{""East Frisia"":""1""}"
Adolph,M,"{""US"":""1"",""DE"":""1""}"
Adolphe,M,"{""FR"":""1"",""BE"":""1"",""LU"":""3"",""CH"":""1""}"
Adolphine,F,"{""FR"":""1"",""BE"":""1""}"
Adolphus,M,"{""US"":""1"",""NL"":""1""}"
Adomas,M,"{""LT"":""5""}"
Adone,M,"{""IT"":""1""}"
Adonis,M,"{""US"":""1"",""GR"":""2""}"
Adoración,F,"{""ES"":""4""}"
Adoram,M,"{""IL"":""3""}"
Adorata,F,"{""IT"":""1""}"
Adorján,M,"{""HU"":""2""}"
Adorna,F,"{""IT"":""1""}"
Adorno,M,"{""IT"":""1""}"
Adosinda,F,"{""PT"":""2""}"
Adosinha,F,"{""PT"":""1""}"
Adrasto,M,"{""IT"":""1""}"
Adri,?,"{""NL"":""4""}"
Adria,F,"{""US"":""1"",""IT"":""1""}"
Adriaan,M,"{""BE"":""3"",""NL"":""4""}"
Adrian,M,"{""MT"":""4"",""BE"":""1"",""NL"":""1"",""East Frisia"":""2"",""DE"":""2"",""AT"":""2"",""CH"":""6"",""PL"":""2"",""SK"":""3"",""RO"":""8"",""BG"":""1"",""AL"":""6"",""MD"":""6""}"
Adrián,M,"{""ES"":""4"",""SK"":""4"",""HU"":""1""}"
Adriana,F,"{""IT"":""6"",""MT"":""2"",""PT"":""4"",""ES"":""3"",""BE"":""4"",""AT"":""1"",""CH"":""3"",""EE"":""1"",""LV"":""1"",""PL"":""3"",""CZ"":""2"",""SK"":""6"",""RO"":""7"",""BG"":""3"",""ME"":""1"",""SI"":""3"",""AL"":""6"",""MD"":""4"",""IL"":""4""}"
Adriane,F,"{""US"":""1"",""DE"":""1"",""AT"":""1"",""CH"":""1""}"
Adrianna,F,"{""US"":""1"",""PL"":""1""}"
Adrianne,F,"{""US"":""1"",""NL"":""1""}"
Adriano,M,"{""IT"":""6"",""PT"":""5"",""ES"":""1"",""CH"":""3""}"
Adriāns,M,"{""LV"":""2""}"
Adrianus,M,"{""BE"":""3"",""NL"":""1""}"
Adrião,M,"{""PT"":""2""}"
Adriatik,M,"{""AL"":""5""}"
Adrie,?,"{""NL"":""5""}"
Adriëlle,F,"{""NL"":""1""}"
Adrien,M,"{""FR"":""5"",""BE"":""4"",""LU"":""5"",""CH"":""2""}"
Adriena,F,"{""CZ"":""1"",""SK"":""4""}"
Adrienn,F,"{""HU"":""6""}"
Adrienne,F,"{""GB"":""2"",""US"":""3"",""FR"":""3"",""BE"":""4"",""LU"":""3"",""CH"":""2"",""HU"":""4""}"
Adriënne,F,"{""NL"":""2""}"
Adrijan,M,"{""BA"":""2"",""Kosovo"":""2"",""RS"":""2"",""AL"":""1""}"
Adrijana,F,"{""BA"":""2"",""SI"":""2""}"
Adrio,M,"{""IT"":""1""}"
Ädu,M,"{""EE"":""1""}"
Adua,F,"{""IT"":""2""}"
Aduo,M,"{""IT"":""1""}"
Advija,M,"{""BA"":""4""}"
Ady,?F,"{""IL"":""4""}"
Ae,?,"{""KR"":""8""}"
Aedal,F,"{""SA/IR"":""2""}"
Aedin,M,"{""IE"":""1""}"
Ägidius,M,"{""DE"":""1"",""AT"":""1""}"
Ægir,M,"{""IS"":""6""}"
Aeihso,M,"{""East Frisia"":""1""}"
Aeilt,M,"{""East Frisia"":""2""}"
Aelbert,M,"{""NL"":""1""}"
Aelita,F,"{""LV"":""2"",""RU"":""1"",""AM"":""2"",""KZ/UZ/.etc"":""2""}"
Älke,?,"{""East Frisia"":""1""}"
Aeneas,M,"{""GR"":""1""}"
Aengus,M,"{""GB"":""1"",""IE"":""1""}"
Ännchen,F,"{""DE"":""1""}"
Aenne,F,"{""East Frisia"":""2""}"
Änne,F,"{""East Frisia"":""3"",""DE"":""1""}"
Aerend,M,"{""NL"":""1""}"
Aernout,M,"{""NL"":""1""}"
Aeron,F,"{""GB"":""1""}"
Aeronwen,F,"{""GB"":""1""}"
Aeronwy,F,"{""GB"":""1""}"
Aert,M,"{""NL"":""1""}"
Æsa,F,"{""IS"":""1""}"
Ævar,M,"{""IS"":""5""}"
Ævarr,M,"{""IS"":""4""}"
Ae Young,F,"{""KR"":""3""}"
Afa,F,"{""AZ"":""5""}"
Afaf,F,"{""SA/IR"":""3""}"
Afag,F,"{""AZ"":""3""}"
Afanasie,M,"{""MD"":""3""}"
Afanasii,M,"{""MD"":""1""}"
Afanasijs,M,"{""LV"":""1""}"
Afaq,F,"{""AZ"":""4""}"
Afat,?F,"{""AZ"":""5""}"
Afelien,F,"{""NL"":""1""}"
Aferdita,F,"{""MK"":""3"",""ME"":""2""}"
Afërdita,F,"{""Kosovo"":""8"",""AL"":""8""}"
Afet,F,"{""AZ"":""6""}"
Affie,F,"{""NL"":""1""}"
Afgan,M,"{""AZ"":""1""}"
Afia,F,"{""SA/IR"":""1""}"
Afie,F,"{""NL"":""1""}"
Afif,M,"{""SA/IR"":""3""}"
Afifa,F,"{""SA/IR"":""2""}"
Afifah,F,"{""SA/IR"":""2""}"
Afiya,F,"{""SA/IR"":""1""}"
Afke,?F,"{""NL"":""3""}"
Afonso,M,"{""PT"":""6""}"
Afra,F,"{""IT"":""1"",""NL"":""2""}"
África,F,"{""PT"":""1"",""ES"":""3""}"
Afrim,M,"{""Kosovo"":""7"",""AL"":""5""}"
Afro,M,"{""IT"":""1""}"
Afrodita,F,"{""RO"":""2"",""BG"":""1"",""MK"":""1""}"
Afroditi,F,"{""GR"":""6""}"
Afsaneh,F,"{""SA/IR"":""3""}"
Afsar,F,"{""SA/IR"":""2""}"
Afşar,M,"{""TR"":""1""}"
Afschin,M,"{""SA/IR"":""1""}"
